author	year	paper_id	bee_id	bee_genus	bee_species	top5position	controlled_for_contamination	genus	average_relative_abundance
Cohen	2020	1	1	Osmia	lignaria	Genus_175	Yes	Ohtaekwangia	0.0002354141
Cohen	2020	1	1	Osmia	lignaria	Genus_176	Yes	Alkanibacter	0.0002336626
Cohen	2020	1	1	Osmia	lignaria	Genus_177	Yes	Caulobacteraceae_unclassified	0.0002306503
Cohen	2020	1	1	Osmia	lignaria	Genus_178	Yes	Williamsia	0.0002305552
Cohen	2020	1	1	Osmia	lignaria	Genus_179	Yes	Planococcaceae_unclassified	0.0002301748
Cohen	2020	1	1	Osmia	lignaria	Genus_180	Yes	Nitrosospira	0.0002292209
Cohen	2020	1	1	Osmia	lignaria	Genus_181	Yes	Neisseria	0.0002286933
Cohen	2020	1	1	Osmia	lignaria	Genus_182	Yes	Bauldia	0.0002266442
Cohen	2020	1	1	Osmia	lignaria	Genus_183	Yes	CL	0.0002239785
Cohen	2020	1	1	Osmia	lignaria	Genus_184	Yes	Oryzihumus	0.0002237454
Cohen	2020	1	1	Osmia	lignaria	Genus_185	Yes	Microtrichales_unclassified	0.0002231166
Cohen	2020	1	1	Osmia	lignaria	Genus_186	Yes	Rhodobacter	0.0002178436
Cohen	2020	1	1	Osmia	lignaria	Genus_187	Yes	Janthinobacterium	0.0002160982
Cohen	2020	1	1	Osmia	lignaria	Genus_188	Yes	Thermomonas	0.0002143344
Cohen	2020	1	1	Osmia	lignaria	Genus_189	Yes	Weissella	0.0002127485
Cohen	2020	1	1	Osmia	lignaria	Genus_190	Yes	Psychrobacter	0.0002082761
Cohen	2020	1	1	Osmia	lignaria	Genus_191	Yes	Actinoplanes	0.0002055828
Cohen	2020	1	1	Osmia	lignaria	Genus_192	Yes	Kitasatospora	0.0002055736
Cohen	2020	1	1	Osmia	lignaria	Genus_193	Yes	Rhodoplanes	0.0002040521
Cohen	2020	1	1	Osmia	lignaria	Genus_194	Yes	Galbitalea	0.0001985521
Cohen	2020	1	1	Osmia	lignaria	Genus_195	Yes	Sorangium	0.0001968160
Cohen	2020	1	1	Osmia	lignaria	Genus_196	Yes	Dyadobacter	0.0001967914
Cohen	2020	1	1	Osmia	lignaria	Genus_197	Yes	DeinococcusD	0.0001961933
Cohen	2020	1	1	Osmia	lignaria	Genus_198	Yes	Methylophilus	0.0001897546
Cohen	2020	1	1	Osmia	lignaria	Genus_199	Yes	Serratia	0.0001897485
Cohen	2020	1	1	Osmia	lignaria	Genus_200	Yes	Nordella	0.0001890429
Cohen	2020	1	1	Osmia	lignaria	Genus_201	Yes	Geobacillus	0.0001875951
Cohen	2020	1	1	Osmia	lignaria	Genus_202	Yes	Hydrocarboniphaga	0.0001854632
Cohen	2020	1	1	Osmia	lignaria	Genus_203	Yes	NB1-j_unclassified	0.0001809540
Cohen	2020	1	1	Osmia	lignaria	Genus_204	Yes	uncultured soil bacterium	0.0001793098
Cohen	2020	1	1	Osmia	lignaria	Genus_205	Yes	Ammoniphilus	0.0001792055
Cohen	2020	1	1	Osmia	lignaria	Genus_206	Yes	Parafilimonas	0.0001757178
Cohen	2020	1	1	Osmia	lignaria	Genus_207	Yes	Arcicella	0.0001756840
Cohen	2020	1	1	Osmia	lignaria	Genus_208	Yes	uncultured Acidobacteria bacterium	0.0001713129
Cohen	2020	1	1	Osmia	lignaria	Genus_209	Yes	Agrococcus	0.0001651411
Cohen	2020	1	1	Osmia	lignaria	Genus_210	Yes	Methylophilaceae_unclassified	0.0001618834
Cohen	2020	1	1	Osmia	lignaria	Genus_211	Yes	Hafnia-Obesumbacterium	0.0001616319
Cohen	2020	1	1	Osmia	lignaria	Genus_212	Yes	Burkholderia-Caballeronia-Paraburkholderia	0.0001568681
Cohen	2020	1	1	Osmia	lignaria	Genus_213	Yes	Peredibacter	0.0001546074
Cohen	2020	1	1	Osmia	lignaria	Genus_214	Yes	uncultured Gemmatimonadetes bacterium	0.0001528589
Cohen	2020	1	1	Osmia	lignaria	Genus_215	Yes	Exiguobacterium	0.0001528528
Cohen	2020	1	1	Osmia	lignaria	Genus_216	Yes	Intrasporangium	0.0001493313
Cohen	2020	1	1	Osmia	lignaria	Genus_217	Yes	Fodinicola	0.0001477301
Cohen	2020	1	1	Osmia	lignaria	Genus_218	Yes	Rhizobiales_unclassified	0.0001458190
Cohen	2020	1	1	Osmia	lignaria	Genus_219	Yes	Micrococcales_unclassified	0.0001423037
Cohen	2020	1	1	Osmia	lignaria	Genus_220	Yes	Actinophytocola	0.0001406564
Cohen	2020	1	1	Osmia	lignaria	Genus_221	Yes	Rathayibacter	0.0001405552
Cohen	2020	1	1	Osmia	lignaria	Genus_222	Yes	Cavicella	0.0001388006
Cohen	2020	1	1	Osmia	lignaria	Genus_223	Yes	Pigmentiphaga	0.0001387914
Cohen	2020	1	1	Osmia	lignaria	Genus_224	Yes	Sphingorhabdus	0.0001370276
Cohen	2020	1	1	Osmia	lignaria	Genus_225	Yes	Myxococcaceae_unclassified	0.0001370276
Cohen	2020	1	1	Osmia	lignaria	Genus_226	Yes	Clostridium sensu stricto 13	0.0001352761
Cohen	2020	1	1	Osmia	lignaria	Genus_227	Yes	Methylocella	0.0001348558
Cohen	2020	1	1	Osmia	lignaria	Genus_228	Yes	Pectobacterium	0.0001317607
Cohen	2020	1	1	Osmia	lignaria	Genus_229	Yes	Luteimonas	0.0001266350
Cohen	2020	1	1	Osmia	lignaria	Genus_230	Yes	Quadrisphaera	0.0001264969
Cohen	2020	1	1	Osmia	lignaria	Genus_231	Yes	uncultured actinobacterium	0.0001248589
